iter	AUC	Logloss
0	0.7046100497	0.6864506062
1	0.7192222476	0.6803927191
2	0.7240698636	0.6747769867
3	0.7233826518	0.6697252304
4	0.7252002358	0.6650127312
5	0.7258986533	0.6605311758
6	0.7264223993	0.6565222149
7	0.7282652259	0.6525212219
8	0.7298114598	0.6488242531
9	0.7344755828	0.6454093346
10	0.7348559201	0.6422543056
11	0.7361778617	0.63949157
12	0.7370067239	0.6367702922
13	0.7377265692	0.6343285124
14	0.7381803691	0.6316663089
15	0.7382850945	0.6292952441
16	0.7394165993	0.6274924504
17	0.7412648797	0.6252735222
18	0.7430428565	0.6235480418
19	0.7445780635	0.6221271458
20	0.7449866831	0.620088802
21	0.745842725	0.618619165
22	0.7456634939	0.6171061405
23	0.7459144592	0.6160334656
24	0.746552676	0.6147434793
25	0.7472545207	0.6131924829
26	0.7483838499	0.6120619786
27	0.7491876483	0.610431179
28	0.7496209741	0.6089424316
29	0.7502021194	0.6079011301
30	0.7518675625	0.6066221619
31	0.7527208924	0.6056502059
32	0.7535086572	0.6047579908
33	0.7540720105	0.6037244704
34	0.7548940182	0.6027312252
35	0.7560673952	0.601641494
36	0.7569647729	0.6004457527
37	0.7577711642	0.599467883
38	0.7584483922	0.5986923848
39	0.759020865	0.5979838043
40	0.7598151565	0.5970680591
41	0.760352999	0.5963280428
42	0.761149019	0.5954563699
43	0.7616587877	0.5948572232
44	0.7622786164	0.5941630844
45	0.7629823983	0.5932807669
46	0.7637812197	0.5926644395
47	0.7644213438	0.5918766782
48	0.7651007473	0.5913202343
49	0.7656273246	0.5905874389
50	0.7661857307	0.5900825995
51	0.766589582	0.5894909848
52	0.7671246827	0.5889146212
53	0.7674964368	0.588236107
54	0.7678768337	0.5873306329
55	0.7682791352	0.5868023255
56	0.7685941756	0.5862511105
57	0.7687436342	0.5857740963
58	0.7689030766	0.5852813332
59	0.7694479823	0.5847475479
60	0.7699936926	0.5843109333
61	0.7704228163	0.583687385
62	0.7707314491	0.5831913848
63	0.7711798251	0.5826993686
64	0.7715623081	0.5822663645
65	0.7719680071	0.5816937359
66	0.7724654675	0.5812843241
67	0.7727108896	0.580832832
68	0.7730694413	0.5802757656
69	0.7735177875	0.5798219703
70	0.773953557	0.5794372714
71	0.7741459906	0.5791085966
72	0.7745712996	0.5787088957
73	0.7747906446	0.578316976
74	0.7752274275	0.5777571083
75	0.7755615115	0.5774545781
76	0.7758595049	0.5771821142
77	0.7762061059	0.5766894133
78	0.7766378522	0.5762900859
79	0.7768011391	0.5759297263
80	0.7771141827	0.5756025455
81	0.7771312296	0.5753203085
82	0.7774658203	0.5750404992
83	0.7777116895	0.5746869248
84	0.7780054212	0.5742691717
85	0.7783409953	0.5738666696
86	0.7785162032	0.573527288
87	0.7787392735	0.5732650951
88	0.7791272104	0.5729053581
89	0.7792826295	0.5725869544
90	0.779458493	0.5723002355
91	0.7797242999	0.5720063579
92	0.779922843	0.5717635245
93	0.7801995277	0.5715167071
94	0.780613482	0.5710302934
95	0.7808691263	0.5706886085
96	0.7810994685	0.570467998
97	0.7813996971	0.5701746184
98	0.7815266252	0.5699268051
99	0.781645596	0.5696472448
100	0.7818586826	0.5692556985
101	0.7821178436	0.5690071382
102	0.7823381722	0.56870411
103	0.7825436294	0.5684656963
104	0.7826938629	0.5682922083
105	0.7830561996	0.56777716
106	0.7832974792	0.5674817262
107	0.7835303545	0.5670923586
108	0.7836222053	0.5668608545
109	0.7837904096	0.5666580473
110	0.7839820087	0.5663962902
111	0.7843639851	0.5660945069
112	0.7845054269	0.5657981394
113	0.7846079171	0.5655823221
114	0.78479743	0.5653271011
115	0.7849590778	0.5651020087
116	0.7851294875	0.5648080689
117	0.7852820158	0.5646525086
118	0.785454601	0.5643842153
119	0.7855809331	0.5641492253
120	0.7858107686	0.5639357112
121	0.7859731317	0.5637373236
122	0.786254555	0.5634770605
