iter	Passed	Remaining
0	4	6014
1	7	5700
2	11	5581
3	14	5520
4	18	5507
5	21	5477
6	25	5452
7	29	5435
8	32	5419
9	36	5410
10	39	5402
11	43	5394
12	47	5384
13	50	5387
14	54	5383
15	57	5371
16	61	5366
17	65	5368
18	68	5362
19	72	5356
20	76	5356
21	79	5349
22	83	5347
23	86	5340
24	90	5335
25	94	5329
26	97	5327
27	101	5322
28	104	5316
29	108	5314
30	112	5310
31	115	5304
32	119	5300
33	122	5296
34	126	5292
35	130	5287
36	133	5283
37	137	5281
38	140	5276
39	144	5272
40	148	5268
41	151	5264
42	155	5261
43	158	5256
44	162	5253
45	166	5250
46	169	5245
47	174	5272
48	178	5272
49	183	5331
50	187	5326
51	190	5316
52	194	5304
53	198	5303
54	201	5292
55	204	5281
56	208	5270
57	211	5260
58	214	5250
59	218	5240
60	221	5230
61	225	5221
62	228	5212
63	231	5203
64	235	5194
65	238	5185
66	242	5176
67	245	5168
68	248	5160
69	252	5152
70	255	5143
71	258	5135
72	262	5128
73	265	5123
74	269	5121
75	273	5118
76	276	5116
77	280	5113
78	284	5109
79	287	5105
80	291	5103
81	294	5099
82	298	5096
83	302	5093
84	305	5088
85	309	5085
86	312	5082
87	316	5079
88	320	5075
89	323	5072
90	327	5069
91	330	5065
92	334	5061
93	338	5058
94	341	5055
95	345	5051
96	349	5047
97	352	5044
98	356	5040
99	359	5036
100	363	5032
101	366	5030
102	370	5026
103	374	5022
104	377	5018
105	381	5014
106	384	5010
107	388	5006
108	392	5002
109	395	4999
110	399	4995
111	402	4992
112	406	4988
113	409	4984
114	413	4981
115	417	4978
116	420	4975
117	424	4971
118	428	4968
119	431	4964
120	435	4960
121	438	4956
122	442	4952
123	445	4948
124	449	4949
125	453	4945
126	457	4942
127	460	4939
128	464	4935
129	467	4931
130	471	4927
131	475	4923
132	478	4920
133	482	4916
134	485	4912
135	489	4909
136	493	4905
137	496	4901
138	500	4898
139	503	4894
140	507	4890
141	511	4887
142	514	4884
143	518	4882
144	521	4876
145	525	4871
146	528	4865
147	531	4859
148	535	4854
149	538	4849
150	542	4843
151	545	4837
152	548	4832
153	552	4826
154	555	4821
155	559	4816
156	562	4810
157	565	4806
158	569	4801
159	572	4795
160	575	4790
161	579	4785
162	582	4779
163	586	4774
164	589	4769
165	592	4765
166	596	4760
167	599	4756
168	603	4752
169	606	4747
170	610	4743
171	613	4739
172	617	4734
173	620	4730
174	624	4726
175	627	4721
176	631	4717
177	634	4713
178	638	4709
179	641	4705
180	645	4701
181	648	4697
182	652	4693
183	655	4689
184	659	4685
185	662	4681
186	666	4676
187	669	4672
188	672	4667
189	676	4663
190	679	4659
191	683	4655
192	686	4650
193	690	4646
194	693	4642
